customer_id,customer_name,age,gender,income,loyalty_points,is_member,order_date,order_time,product_1,product_2,product_3,product_4,product_5,category_1,category_2,category_3,category_4,category_5,price_1,price_2,price_3,price_4,price_5,quantity_1,quantity_2,quantity_3,quantity_4,quantity_5
1,Michael James,37,Other,38034.53,549,True,2022-06-12,15:36:24,A,G,K,N,Q,Books,Home,Food,Games,Health,104.0,56.8,47.17,8.45,1.31,3,1,1,49,67
2,Valerie Robinson,56,Male,42889.48,917,False,2022-10-28,00:38:45,A,F,K,M,R,Books,Office,Drinks,Sports,Beauty,111.17,178.13,16.29,16.97,9.86,4,6,11,27,50
3,Andrew Hammond,30,Male,50964.49,760,False,2022-05-15,08:35:35,A,E,L,O,T,Clothing,Outdoor,Food,Sports,Beauty,129.06,93.01,25.34,1.52,3.23,2,4,12,2,47
4,Jenna Phillips,42,Female,47439.99,487,True,2022-06-26,23:53:48,C,E,I,P,R,Electronics,Outdoor,Food,Toys,Health,435.51,199.84,45.83,5.86,3.54,4,6,19,13,85
5,Charles Lane,33,Other,50693.69,741,True,2023-03-28,23:54:58,B,E,L,P,T,Clothing,Office,Food,Toys,Beauty,307.29,17.92,18.05,2.41,9.8,1,9,2,24,20
6,Michael Murphy,41,Female,60145.94,130,True,2022-06-05,14:45:44,D,E,J,P,S,Clothing,Outdoor,Food,Sports,Beauty,481.94,86.34,6.06,11.2,6.27,1,6,17,27,31
7,Andrew French,59,Other,43923.9,562,False,2022-05-20,07:06:32,A,E,J,P,T,Electronics,Home,Drinks,Games,Pets,459.73,14.53,19.7,8.8,3.39,1,3,2,19,68
8,Antonio Nichols,44,Other,46955.91,823,False,2022-10-16,20:29:15,B,F,J,P,R,Books,Outdoor,Snacks,Sports,Pets,24.51,189.54,6.61,18.45,6.28,1,3,12,41,3
9,Derek Reed,48,Female,42053.54,592,True,2022-12-11,17:03:02,B,E,L,P,T,Books,Home,Snacks,Toys,Health,146.29,196.4,40.47,7.97,9.02,1,1,2,26,35
10,Jose Miles,61,Female,34141.64,501,True,2022-10-10,05:59:48,B,H,J,P,Q,Electronics,Outdoor,Snacks,Sports,Health,245.59,179.76,15.5,3.53,5.35,1,4,4,2,10
11,Shawn Miller DVM,48,Other,69063.68,844,False,2023-01-12,21:35:09,C,F,J,O,S,Books,Office,Drinks,Toys,Health,17.85,152.27,31.64,8.26,7.79,4,7,7,6,99
12,Alison Robertson,62,Female,46666.86,334,False,2023-01-15,10:06:39,A,H,L,M,Q,Clothing,Outdoor,Food,Games,Beauty,423.05,76.15,19.9,13.56,1.53,2,2,10,37,14
13,Gary Pruitt,44,Female,37101.52,83,False,2022-12-05,08:30:10,D,H,I,M,S,Electronics,Outdoor,Food,Games,Beauty,377.9,60.83,36.1,11.18,9.54,1,5,12,24,4
14,Taylor Smith,46,Other,42551.14,960,False,2023-02-24,02:30:26,D,E,K,N,T,Books,Home,Drinks,Sports,Health,467.78,166.15,14.42,19.35,0.77,2,5,3,21,56
15,Wendy Morgan,23,Female,46544.29,367,True,2022-08-15,02:47:54,A,E,K,M,S,Clothing,Office,Drinks,Sports,Beauty,383.56,10.87,42.12,3.1,5.17,1,7,16,41,66
16,Cathy Waters,34,Male,44174.36,973,True,2022-06-12,13:38:57,B,G,I,N,T,Clothing,Home,Drinks,Toys,Pets,32.96,142.81,20.02,13.77,0.54,2,9,3,25,65
17,Jennifer Allen,27,Male,44041.74,780,False,2022-07-13,23:04:26,A,G,K,N,T,Books,Outdoor,Food,Games,Pets,250.04,195.5,21.0,15.2,7.45,1,1,12,1,13
18,Felicia Thomas,30,Other,48069.68,39,True,2023-03-17,07:46:38,C,G,J,N,T,Books,Office,Drinks,Sports,Pets,124.11,107.9,18.9,7.25,4.59,3,7,2,46,28
19,Chad Murphy,55,Other,51715.3,858,False,2022-04-30,02:12:49,B,F,L,N,T,Electronics,Office,Snacks,Games,Health,333.7,16.41,11.29,5.02,5.1,4,4,4,35,74
20,Jonathan Dominguez,52,Male,42873.31,172,False,2022-08-01,12:06:56,D,H,J,N,T,Books,Office,Drinks,Sports,Beauty,160.5,178.25,13.94,5.25,2.02,2,5,18,29,23
21,James Charles,56,Male,59056.78,225,False,2022-12-02,10:18:54,C,E,K,O,Q,Books,Outdoor,Drinks,Toys,Beauty,494.56,33.36,8.21,7.78,3.28,2,3,1,40,85
22,Sue Robinson,21,Male,54303.25,966,True,2022-09-11,12:25:41,B,G,J,P,R,Clothing,Outdoor,Food,Toys,Beauty,55.5,54.69,42.68,10.7,0.64,1,5,10,13,13
23,Adam Velasquez,57,Female,47659.28,411,False,2023-03-04,01:13:27,C,E,I,O,S,Clothing,Home,Drinks,Toys,Beauty,356.83,123.17,6.57,3.67,8.86,4,3,1,13,83
24,Justin Curtis,29,Other,34663.62,703,True,2022-10-01,07:30:08,B,H,L,P,T,Electronics,Office,Snacks,Sports,Health,232.57,102.48,17.29,15.05,2.11,2,6,13,46,56
25,Donald Hansen,18,Female,58562.62,563,True,2023-03-10,23:10:15,D,H,K,M,T,Clothing,Outdoor,Drinks,Games,Health,271.85,131.72,43.78,8.57,2.86,2,8,1,39,52
26,Lindsay Mccall,59,Other,52686.75,630,True,2022-10-10,23:57:44,C,H,J,N,T,Clothing,Home,Snacks,Sports,Beauty,80.68,33.54,23.14,15.12,5.6,2,1,7,40,72
27,Amber Hernandez,29,Male,32437.72,228,True,2022-06-19,14:55:30,A,G,L,P,R,Electronics,Office,Food,Games,Health,237.56,50.1,15.54,18.14,7.85,2,8,19,4,94
28,Gregory Vincent,34,Male,40961.29,766,False,2022-08-19,21:36:41,B,E,K,P,T,Clothing,Home,Drinks,Toys,Health,15.73,107.57,8.8,6.68,9.49,1,4,14,35,16
29,Michael Thornton,21,Female,49939.97,214,True,2023-02-12,17:52:47,C,E,I,O,S,Books,Outdoor,Drinks,Sports,Health,48.21,182.69,30.12,3.22,8.77,4,7,1,44,71
30,Jessica Hamilton,20,Male,29905.45,692,False,2022-04-24,19:41:42,A,G,L,N,Q,Clothing,Outdoor,Food,Toys,Pets,205.33,117.5,15.99,16.32,3.1,1,4,16,45,65
